iter	MAE
0	0.2634210662
1	0.263054283
2	0.2627165667
3	0.2623623003
4	0.2619507444
5	0.261581858
6	0.2612101109
7	0.2608547331
8	0.2605390585
9	0.2601537935
10	0.2597947171
11	0.2594020963
12	0.2590027674
13	0.2586414528
14	0.2583017155
15	0.257949891
16	0.257630688
17	0.2573021503
18	0.2569632256
19	0.2566542003
20	0.2563293312
21	0.2559414267
22	0.255597147
23	0.2552330694
24	0.2549448774
25	0.2545665638
26	0.2541773886
27	0.25383787
28	0.253546046
29	0.253242173
30	0.2528747546
31	0.2525600765
32	0.2522637602
33	0.2519597965
34	0.2516469198
35	0.2513597894
36	0.251084055
37	0.2508261129
38	0.2505678003
39	0.2503490382
40	0.2500993662
41	0.2498533344
42	0.2496071247
43	0.2493830873
44	0.2491422923
45	0.2488968117
46	0.2486782912
47	0.24847982
48	0.2482426858
49	0.2480324773
50	0.2478176842
51	0.2475869366
52	0.2473374095
53	0.2471417114
54	0.2469044356
55	0.2466944919
56	0.2464976999
57	0.2462971412
58	0.24607584
59	0.2458752418
60	0.2456526686
61	0.2454734765
62	0.2453008563
63	0.2451136544
64	0.244917855
65	0.244755391
66	0.2445781259
67	0.2444025905
68	0.2442531383
69	0.2441062517
70	0.2439437727
71	0.2437796258
72	0.2436281638
73	0.2434835236
74	0.2433548063
75	0.2431914471
76	0.2430450407
77	0.2429465646
78	0.2427996485
79	0.2426714809
80	0.2425161942
81	0.2423858176
82	0.2422583112
83	0.2421182702
84	0.2420107598
85	0.2418862254
86	0.2417511757
87	0.2416493841
88	0.2415602797
89	0.2414868735
90	0.2413859878
91	0.2412781981
92	0.24115935
93	0.2410632166
94	0.240965574
95	0.2408803633
96	0.2407684448
97	0.2406699227
98	0.2405938485
99	0.2405030846
100	0.2404372082
101	0.2403723516
102	0.2402970364
103	0.2402214684
104	0.2401355198
105	0.2400608687
106	0.2399970718
107	0.2399341567
108	0.2398593325
109	0.2397955086
110	0.2397288957
111	0.2396704166
112	0.2395918437
113	0.2395353351
114	0.2394605388
115	0.2394031465
116	0.2393371055
117	0.2392790094
118	0.2392000159
119	0.2391227039
120	0.2390648243
121	0.2389883077
122	0.2389372113
123	0.2388950425
124	0.238846786
125	0.2387996415
126	0.2387464654
127	0.2386745422
128	0.2386144394
129	0.2385515732
130	0.2385049908
131	0.2384584007
132	0.2384147111
133	0.238383332
134	0.2383392866
135	0.2383158407
136	0.2382737736
137	0.2382322731
138	0.2381769388
139	0.2381228599
140	0.238087998
141	0.2380232216
142	0.237976847
143	0.2379314382
144	0.2378737589
145	0.2378191015
146	0.2377660976
147	0.2377149171
148	0.2376743033
149	0.2376524733
150	0.2376047055
151	0.2375512222
152	0.2375143478
153	0.2374746223
154	0.2374314944
155	0.237392999
156	0.2373343695
157	0.2373026536
158	0.2372692249
159	0.2372268119
160	0.2371742537
161	0.237144665
162	0.2371047597
163	0.2370659488
164	0.23703124
165	0.2369769932
166	0.2369341411
167	0.2369037821
168	0.2368743098
169	0.2368557957
170	0.2368304771
171	0.2367738688
172	0.2367423575
173	0.2367109209
174	0.2366612397
175	0.236611366
176	0.2365692074
177	0.2365475002
178	0.2365071035
179	0.2364812727
180	0.2364474216
181	0.2364248751
182	0.2363984201
183	0.2363746027
184	0.236355961
185	0.2363208364
186	0.236295745
187	0.2362705203
188	0.2362446242
189	0.2362118473
190	0.2361847815
191	0.236163167
192	0.2361460421
193	0.2361169805
194	0.2360928588
195	0.2360810443
196	0.2360668898
197	0.2360479156
198	0.2360291048
199	0.2360107439
200	0.2359925546
201	0.2359735662
202	0.2359547886
203	0.2359362485
204	0.2359118764
205	0.235904021
206	0.2358898994
207	0.2358785956
208	0.2358576625
209	0.235845191
210	0.2358302271
211	0.2358171464
212	0.2358009137
213	0.2357840669
214	0.2357683953
215	0.2357492485
216	0.2357385448
217	0.2357254857
218	0.2357104103
219	0.2356966497
220	0.2356752542
221	0.2356595414
222	0.2356478411
223	0.2356350411
224	0.2356223448
225	0.235606891
226	0.2355857135
227	0.2355703293
228	0.2355622252
229	0.2355490741
230	0.2355352914
231	0.2355177491
232	0.2354860925
233	0.2354677797
234	0.2354598038
235	0.2354484614
236	0.2354222759
237	0.2354112151
238	0.2353880426
239	0.2353704349
240	0.2353608016
241	0.235354514
242	0.2353469882
243	0.2353391525
244	0.2353258303
245	0.2353041824
246	0.2352942684
247	0.2352865988
248	0.2352708415
249	0.2352603235
250	0.2352439345
251	0.2352254808
252	0.2352119566
253	0.2351990094
254	0.2351832982
255	0.235175188
256	0.2351662349
257	0.2351540461
258	0.2351336151
259	0.2351157149
260	0.2351115595
261	0.235098501
262	0.235064602
263	0.2350468537
264	0.235040654
265	0.2350298971
266	0.2350195437
267	0.2350122249
268	0.2350061197
269	0.2349932473
270	0.234988945
271	0.2349668641
272	0.2349528398
273	0.2349487827
274	0.2349356688
275	0.2349095445
276	0.2348960381
277	0.2348882121
278	0.2348757323
279	0.2348689174
280	0.2348488016
281	0.2348459055
282	0.2348355923
283	0.2348302529
284	0.2348134452
285	0.2348087209
286	0.2347890082
287	0.234765881
288	0.2347598168
289	0.2347533656
290	0.2347455357
291	0.2347388729
292	0.2347312636
293	0.2347234872
294	0.234708507
295	0.2347013064
296	0.2346956557
297	0.2346859099
298	0.2346728295
299	0.2346678579
300	0.2346466044
301	0.2346407348
302	0.2346364099
303	0.2346283317
304	0.2346084493
305	0.2345982282
306	0.234580375
307	0.2345713047
308	0.2345659686
309	0.2345580484
310	0.2345518053
311	0.2345412606
312	0.2345277501
313	0.2345104938
314	0.2344878306
315	0.2344835096
316	0.2344815722
317	0.23446739
318	0.2344598887
319	0.2344550311
320	0.2344499052
321	0.2344337956
322	0.2344290122
323	0.2344238519
324	0.2344195218
325	0.234417324
326	0.2344125862
327	0.234396798
328	0.2343812684
329	0.23437749
330	0.2343728337
331	0.2343699576
332	0.2343656034
333	0.2343596873
334	0.2343464941
335	0.23434293
336	0.2343321963
337	0.2343277518
338	0.234323572
339	0.2343088862
340	0.2342953237
341	0.2342890242
342	0.2342852454
343	0.23427847
344	0.2342609621
345	0.2342574208
346	0.2342355438
347	0.2342134108
348	0.234209199
349	0.2342045582
350	0.2341916409
351	0.2341870706
352	0.2341827777
353	0.2341812774
354	0.2341800372
355	0.2341720602
356	0.2341574037
357	0.2341535212
358	0.2341359195
359	0.2341328958
360	0.2341263633
361	0.2341198069
362	0.2341166977
363	0.2341057738
364	0.2340979571
365	0.2340913378
366	0.2340883272
367	0.234084616
368	0.2340818141
369	0.2340752402
370	0.2340701217
371	0.2340686389
372	0.2340679315
373	0.2340579763
374	0.2340574078
375	0.2340416981
376	0.2340233296
377	0.2340151622
378	0.2340100508
379	0.2340052913
380	0.2339998753
381	0.2339949187
382	0.2339864528
383	0.2339696106
384	0.23396667
385	0.2339511435
386	0.233943828
387	0.2339341741
388	0.2339284322
389	0.2339240833
390	0.2339180662
391	0.2339058533
392	0.2338983681
393	0.2338847197
394	0.2338696714
395	0.2338637298
396	0.2338614258
397	0.2338582838
398	0.2338530927
399	0.2338490767
400	0.2338456644
401	0.2338353261
402	0.2338300679
403	0.2338244326
404	0.2338149911
405	0.2338111651
406	0.2338045705
407	0.2337954907
408	0.2337890841
409	0.2337872009
410	0.2337779665
411	0.2337689402
412	0.2337651414
413	0.233750096
414	0.2337352716
415	0.2337327239
416	0.2337159064
417	0.2337079125
418	0.2337073467
419	0.2337028414
420	0.2336910143
421	0.2336832968
422	0.2336743851
423	0.233672203
424	0.2336570759
425	0.2336570683
426	0.2336541491
427	0.2336422002
428	0.2336290463
429	0.2336230587
430	0.233614423
431	0.233608444
432	0.2336084056
433	0.2336061258
434	0.2335993747
435	0.2335924613
436	0.2335922501
437	0.2335807064
438	0.2335731161
439	0.2335611756
440	0.2335541777
441	0.2335467152
442	0.2335419795
443	0.2335278572
444	0.2335167801
445	0.2335166171
446	0.2335110553
447	0.2334967984
448	0.2334911501
449	0.2334910447
450	0.2334871081
451	0.2334783135
452	0.233478207
453	0.2334762532
454	0.2334658765
455	0.2334644224
456	0.2334536282
457	0.2334477234
458	0.2334477201
459	0.2334398362
460	0.23343743
461	0.2334353895
462	0.2334328989
463	0.2334261833
464	0.233416926
465	0.2334096976
466	0.233400622
467	0.2333945768
468	0.2333838994
469	0.2333717234
470	0.2333605827
471	0.2333520555
472	0.2333519911
473	0.2333465628
474	0.2333363833
475	0.2333349047
476	0.2333294374
477	0.2333220942
478	0.2333142961
479	0.233311304
480	0.2333041807
481	0.2332998478
482	0.2332960272
483	0.2332913252
484	0.2332836358
485	0.2332737581
486	0.2332709603
487	0.2332672813
488	0.2332616653
489	0.2332578255
490	0.2332540469
491	0.2332498948
492	0.2332456731
493	0.2332349056
494	0.2332332368
495	0.2332313556
496	0.2332277112
497	0.2332244649
498	0.2332221624
499	0.2332127111
