iter	Passed	Remaining
0	1	876
1	3	793
2	4	751
3	5	727
4	7	717
5	8	706
6	9	698
7	11	692
8	12	685
9	13	681
10	15	675
11	16	668
12	17	666
13	19	661
14	20	657
15	21	653
16	22	649
17	24	646
18	25	645
19	26	645
20	28	644
21	29	644
22	31	644
23	32	642
24	33	640
25	35	638
26	36	637
27	37	635
28	39	634
29	40	634
30	41	633
31	43	631
32	44	630
33	45	629
34	47	628
35	48	627
36	50	626
37	51	624
38	52	623
39	54	621
40	55	621
41	56	620
42	58	618
43	59	617
44	61	617
45	62	615
46	63	614
47	65	612
48	66	611
49	67	610
50	69	608
51	70	606
52	71	605
53	73	603
54	74	601
55	75	600
56	77	600
57	78	598
58	79	597
59	81	595
60	82	594
61	84	594
62	86	598
63	87	596
64	88	595
65	90	593
66	91	591
67	92	590
68	94	588
69	95	586
70	96	585
71	98	583
72	99	581
73	100	580
74	102	578
75	103	577
76	104	576
77	106	574
78	107	572
79	108	571
80	110	569
81	111	567
82	112	566
83	114	564
84	115	563
85	116	562
86	118	560
87	119	559
88	120	558
89	122	556
90	123	555
91	124	553
92	126	552
93	127	550
94	128	549
95	130	548
96	131	546
97	132	545
98	134	543
99	135	541
100	136	540
101	138	539
102	139	537
103	140	535
104	141	533
105	143	532
106	144	530
107	145	529
108	147	527
109	148	526
110	149	524
111	151	523
112	152	521
113	153	520
114	155	519
115	156	517
116	157	516
117	159	514
118	160	513
119	161	512
120	163	510
121	164	509
122	165	507
123	166	506
124	168	504
125	169	503
126	170	501
127	172	500
128	173	498
129	174	497
130	176	496
131	177	495
132	178	493
133	180	492
134	181	490
135	182	489
136	184	488
137	185	486
138	186	485
139	188	483
140	189	482
141	191	482
142	192	480
143	193	479
144	195	477
145	196	475
146	197	474
147	198	472
148	199	471
149	201	469
150	202	468
151	203	466
152	205	465
153	206	464
154	207	462
155	209	461
156	210	460
157	211	458
158	213	457
159	214	455
160	215	454
161	217	452
162	218	451
163	219	450
164	221	448
165	222	447
166	223	445
167	224	444
168	226	443
169	227	441
170	228	440
171	230	438
172	231	437
173	232	436
